City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mandalgovi,45.7625,106.2708,16.43,12,100,2.87,MN,1684761422
83,port saint john's,-31.6229,29.5448,18.77,58,29,4.49,ZA,1684761423
84,bac lieu,9.285,105.7244,29.74,69,68,4.6,VN,1684761186
85,yellowknife,62.456,-114.3525,8.29,66,0,6.71,CA,1684761423
86,georgetown,5.4112,100.3354,29.97,69,20,1.54,MY,1684760740
87,singrauli,24.1997,82.6753,38.17,13,46,4.62,IN,1684761423
88,independencia,-5.3964,-40.3086,29.81,51,96,4.82,BR,1684761423
89,petrolina,-9.3986,-40.5008,28.03,54,75,6.17,BR,1684761423
90,nova sintra,14.8667,-24.7167,20.42,80,100,9.68,CV,1684761204
91,umm kaddadah,13.6017,26.6876,39.95,7,4,6.44,SD,1684761144
92,qusmuryn,52.4503,64.6311,23.59,28,56,5.55,KZ,1684761424
93,jamestown,42.097,-79.2353,13.9,86,0,1.54,US,1684761424
94,aasiaat,68.7098,-52.8699,-2.31,77,30,9.52,GL,1684761424
95,callao,-12.0667,-77.15,23.16,68,100,3.09,PE,1684761424
96,tazovsky,67.4667,78.7,2.58,98,99,5.27,RU,1684761424
97,sao joao da barra,-21.6403,-41.0511,24.05,63,99,1.61,BR,1684761149
98,uturoa,-16.7333,-151.4333,27.61,76,2,5.75,PF,1684761424
99,flying fish cove,-10.4217,105.6791,25.82,88,100,4.63,CX,1684761424
100,akureyri,65.6835,-18.0878,8.96,46,75,4.12,IS,1684761206
101,puerto lempira,15.2667,-83.7667,26.08,83,20,4.12,HN,1684761425
102,minot air force base,48.4209,-101.3391,13.1,87,0,1.54,US,1684761425
103,chikhli,20.35,76.25,37.13,18,90,5.52,IN,1684761265
104,boguchany,58.3814,97.4531,11.89,70,81,0.48,RU,1684761425
105,maragogi,-9.0122,-35.2225,27.43,76,14,2.8,BR,1684761266
106,zhanaozen,43.3,52.8,28.33,32,0,4.69,KZ,1684761425
107,lodwar,3.1191,35.5973,37.04,25,100,6.18,KE,1684761426
108,puerto ayora,-0.7393,-90.3518,25.31,92,84,1.34,EC,1684761426
109,constantia,44.1833,28.65,19.38,72,54,5.69,RO,1684761426
110,santa cruz,-17.8,-63.1667,23.7,94,75,4.12,BO,1684761426
111,bethel,41.3712,-73.414,19.67,71,0,1.54,US,1684761427
112,port lincoln,-34.7333,135.8667,14.22,73,97,1.87,AU,1684761427
113,selfoss,63.9331,-20.9971,7.8,60,100,8.69,IS,1684761384
114,sailana,23.4667,74.9167,37.26,16,9,6.34,IN,1684761427
115,hermanus,-34.4187,19.2345,19.33,51,99,2.24,ZA,1684761427
116,port hedland,-20.3167,118.5667,16.03,72,77,2.57,AU,1684761427
117,hadibu,12.65,54.0333,31.26,64,99,2.37,YE,1684761427
118,tangalle,6.024,80.7911,27.75,79,0,4.56,LK,1684761427
119,new norfolk,-42.7826,147.0587,12.73,63,95,4.47,AU,1684761428
120,punta arenas,-53.15,-70.9167,0.01,86,40,2.06,CL,1684761366
121,ola,59.5833,151.2833,2.88,90,100,1.12,RU,1684761428
122,svislach,53.6404,27.9199,21.14,47,80,1.56,BY,1684761428
123,ancud,-41.8697,-73.8203,7.11,90,85,3.44,CL,1684761428
124,utrik,11.2278,169.8474,27.9,81,100,6.42,MH,1684761428
125,mount gambier,-37.8333,140.7667,11.81,74,100,2.23,AU,1684761428
126,iskateley,67.6803,53.1512,21.11,37,73,4.95,RU,1684761428
127,sharkawshchyna,55.3713,27.4706,17.72,57,92,0.99,BY,1684761429
128,cannonvale,-20.2833,148.7,19.66,67,93,6.11,AU,1684761429
129,mazaricos,42.9403,-8.9719,21.99,49,55,5.67,ES,1684761429
130,nishinoomote,30.7333,131.0,21.29,72,92,2.83,JP,1684761429
131,dunedin,-45.8742,170.5036,7.67,82,46,2.89,NZ,1684761429
